,created_at,id_str,text,source,in_reply_to_user_id,in_reply_to_screen_name,in_reply_to_status_id,retweet_count,contributors
90,Tue Nov 05 00:00:05 +0000 2013,397513613910360064,“@BitchDntTrip: Chasing Boys aren't going to get me into college and get me a high paying job is it ? 💁”,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",244631815,BitchDntTrip,397513045582151700,0,NULL
91,Tue Nov 05 00:00:05 +0000 2013,397513613927141376,RT @AngelicaPikles: I wanna go see Bad Grandpa .,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NULL,NULL,NULL,0,NULL
92,Tue Nov 05 00:00:05 +0000 2013,397513613914554368,RT @LuulBit_keyy: Get this slump nigga oout my crib,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NULL,NULL,NULL,0,NULL
93,Tue Nov 05 00:00:05 +0000 2013,397513613935509504,@cindypermataa iyaa makasih cindy ;;) amin amin yaAllah :-*☺,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>",129449557,cindypermataa,397509206359543800,0,NULL
94,Tue Nov 05 00:00:05 +0000 2013,397513613923348481,"Я собрал 30 080 золотых монет! Кто из вас сможет больше? http://t.co/0tIyeDfYIr #android, #androidgames, #gameinsight","<a href=""http://bit.ly/tribez_itw"" rel=""nofollow"">The Tribez for Android</a>",NULL,NULL,NULL,0,NULL
95,Tue Nov 05 00:00:05 +0000 2013,397513613910753281,De volta a facu ✌️ http://t.co/nzEt942XYo,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",NULL,NULL,NULL,0,NULL
96,Tue Nov 05 00:00:05 +0000 2013,397513613906571264,RT @xpixiepunkx: La Dispute is an incredible band idc what u say,"<a href=""http://ubersocial.com"" rel=""nofollow"">UberSocial for Android</a>",NULL,NULL,NULL,0,NULL
97,Tue Nov 05 00:00:05 +0000 2013,397513613931732992,@JayTea423 got me hooked on aer.,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",636638286,JayTea423,NULL,0,NULL
98,Tue Nov 05 00:00:05 +0000 2013,397513613939720192,"RT @SavedBoys: You can't hang out with negative people, and expect to live a positive life.","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NULL,NULL,NULL,0,NULL
99,Tue Nov 05 00:00:05 +0000 2013,397513613927530496,"RT @Drizzy_Fanatic: On my worst behavior, don't you ever get it fucked up.","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NULL,NULL,NULL,0,NULL
100,Tue Nov 05 00:00:05 +0000 2013,397513613931315200,書店男子雪名やん,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NULL,NULL,NULL,0,NULL
